StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,Q15,Q13,Q1,Q2,Q3,Flow Short Scale_1,Flow Short Scale_2,Flow Short Scale_3,Flow Short Scale_4,Flow Short Scale_5,Flow Short Scale_6,Flow Short Scale_7,Flow Short Scale_8,Flow Short Scale_9,Flow Short Scale_10,time_estimate,Piece,Composer,Measure numbers,Timestamps,Flow_measures,Observations,Comments,Age,gender,gender_3_TEXT,educ,race,race_6_TEXT,ethnicity,eng,YearsPlayed,PerformanceFrequency,ReadMusic,time_estimate_min,time_estimate_sec,actual_time,time_flow,data_valid
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,External Data Reference,Distribution Channel,User Language,Click Yes to provide your consent or No to not provide your consent.,"I give consent for recordings created as a part of this study to be used in future presentations of the study’s results such as scientific conferences. (Answering ""No"" will not affect your eligibility to participate in this study).",Which of the following statements about Geological Evolutionary theory is supported by both passages?,Passage 1 is unlike Passage 2 in that Passage 1,Passage 2 is best described as,Please rate the degree each statement describes your musical experience. - I felt just the right amount of challenge,Please rate the degree each statement describes your musical experience. - My thoughts/activities ran fluidly and smoothly,Please rate the degree each statement describes your musical experience. - I did not notice time passing,Please rate the degree each statement describes your musical experience. - I had no difficulty concentrating,Please rate the degree each statement describes your musical experience. - My mind was completely clear,Please rate the degree each statement describes your musical experience. - I was totally absorbed in what I was doing,Please rate the degree each statement describes your musical experience. - The right thoughts/movements occurred of their own accord,Please rate the degree each statement describes your musical experience. - I knew what I had to do each step of the way,Please rate the degree each statement describes your musical experience. - I felt that I had everything under control,Please rate the degree each statement describes your musical experience. - I was completely lost in thought,"How long do you think you spent performing your instrument? Without consulting any references, please report your time estimate in minutes and seconds.",What was the name of the piece you played today?,What was the composer of the piece you played today?,Please list all the excerpt measure numbers you played today. (example: m.23-35),"Please list the time ranges (in minutes and seconds) when you became so absorbed in the music that you stopped being consciously aware of your performance.


Example:

1:34-2:26

4:33-5:12

6:52-6:58","Please list the measure numbers when you became so absorbed in the music that you stopped being consciously aware of your performance.


Example:
m. 12-14
m. 36-44",Please list any comments or observations you have about those moments:,Do you have any additional comments about your performance?,"What is your age? 
(Please note the text box accepts numbers only.)",What is your gender? - Selected Choice,What is your gender? - Other (specify) - Text,What year are you in your degree?,Which of the following best describes you? - Selected Choice,Which of the following best describes you? - Other (specify) - Text,Are you Hispanic/Latino?,Is English your native language?,"How long have you been playing this instrument (in years)? 
(Please note the text box accepts numbers only.)",How regularly do you perform in public?,"Do you read music? If so, do you learn your music by heart?",,,,,
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15""}","{""ImportId"":""QID13""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID7_9""}","{""ImportId"":""QID7_10""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_6_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_10_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}"
1/23/2023 18:24,1/23/2023 18:32,1,100,518,1,1/23/2023 18:32,R_Z4cYwDWKhWFz3Nv,,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023 0:45,1/24/2023 1:24,0,100,2329,1,1/24/2023 1:24,R_1QmEZHLkCv5WwsO,,anonymous,EN,1,1,2,2,5,5,3,5,2,2,1,5,3,3,2,7 30,"Flute Sonata, mvt 1",Prokofiev,1 - 130,"2:15-2:18
2:59-3:02
","42
58-62","Autopilot, under the fingers, moments when you get into a new idea, establish a new space
Once in that space your mind can wander
Sometimes more technically demanding, sometimes when the theme comes back, controlling more extremes (technical demands or dynamics)",,20,1,,3,1,,0,1,12,Relatively often,"Yes, although rarely off-score",7.5,450,389,6,1
1/24/2023 6:01,1/24/2023 6:15,0,100,824,1,1/24/2023 6:15,R_3e3atMlHpJD11wJ,,anonymous,EN,1,1,2,2,5,6,5,5,6,4,5,6,6,5,3,2 minutes 20 seconds,Concertino for trombone,Ferdinand David,42-82,"0:10 - 0:15

0:38 - 0:45

1:11 - 1:16","m.43 - 48

63-67

77-81","These were moments where I was the most confident about the notes that I was playing and the positions that I needed to use, so I was most absorbed in the music itself and thinking more about the shape of the melody and the emotion of the piece.","It was interesting to come back to a piece I had not played in a while and see which parts of it were more in my muscle memory than other sections, and which parts I remembered the best.",21,2,,3,1,,0,1,14,Around five times a term,"I do read music, but do not attempt to completely commit it to memory. However, over time as I become more familiar with the music I find that I have subconsciously learnt parts of it.",2.333333333,140,82,17,1
1/24/2023 7:55,1/24/2023 8:23,0,100,1648,1,1/24/2023 8:23,R_31sJsWSuzQIitKL,,anonymous,EN,1,1,2,2,5,6,5,7,6,6,6,6,6,5,3,3 minutes 20 seconds,3rd Movement of Bach's Sonata in G Minor,J. S. Bach,1-121,"0:42-1:01
2:29-2:39
2:56-3:17","26-34
50-54
85-93
111-121","They are the moments in the piece that I feel most confident playing. They often include changes in dynamics, and they also have some of the more complicated sections which I have worked hard to perfect in the past.","The performance is of a piece which I have played lots before, although I feel slightly out of practice (and out of breath!) so it is not the most comfortable I have been whilst playing it. ",20,2,,2,1,,0,1,8,"I play in public for an audience roughly once a month if it were to average out across the year, although I perform in front of others at rehearsals for roughly 7 hours per week.","Yes I do read music, but I very rarely learn music by heart - only if I am explicitly told or expected to by someone in charge of a performance.",3.333333333,200,197,50,1
1/25/2023 5:23,1/25/2023 6:06,0,100,2544,1,1/25/2023 6:06,R_1N96EQ8FJvfZQYo,,anonymous,EN,1,1,1,3,1,2,5,5,6,4,4,6,5,6,4,3 minutes 30 seconds,Five bagatelles: III and IV,Gerald Finzi," Movement III: mm. 1-27, Movement IV: mm. 1-74","Movement III:
0:15-0:24
0:30-1:00
1:20-1:43
Movement IV:
0:20-1:10
1:30-1:50
2:00-2:35
2:40-2:48","Movement III:
5-7
9-17
22-27
Movement IV:
11-33
42-51
54-69
71-74
","The moments at which I stopped being consciously aware of my performance were typically those at which I was most focused. This focus was lost when I made an error, or when a particular phrase was not played exactly how I intended it to sound. It was evident in the video that I lost focus and became consciously aware of my performance at these points because my movements became more deliberate and my phrasing was less fluid.","These pieces were certainly not stretching my technical ability. However, they were still challenging in their own ways as they made me focus far more on phrasing and articulation than I would while playing a study or a more technically challenging piece.",19,1,,2,6,Mixed White and Black Caribbean,0,1,9,Approximately once a month,"I do read music in five-line Western Classical notation. I occasionally learn music off by heart, but when I do it is not intentional.",3.5,210,273,175,1
1/25/2023 6:15,1/25/2023 6:29,0,100,814,1,1/25/2023 6:29,R_2E1eSibOq6sHG70,,anonymous,EN,1,1,2,2,4,7,7,4,7,3,6,3,7,7,3,"2 minutes, 10 seconds","Horn Concerto No.4, Movement 1",W.A. Mozart,36-75,"0:00-0:10
0:15-0:25
0:38-0:48
1:15-1:18","36-40
45-50
69 (second half of bar) - 75","generally they were the less technically difficult moments - any moments where I made a slip up or mistake would have taken me out of the moment, and I would have probably been distracted by making sure it didn't happen again until the next phrase.
also, in bars 43-44 because the notes are longer I would have been less absorbed in what I was doing and more likely to have my mind wander.",,19,2,,2,1,,0,1,10,1-2 times per month,"Yes, and yes.",2.166666667,130,80,33,1
1/26/2023 9:28,1/26/2023 9:51,0,100,1358,1,1/26/2023 9:51,R_2dRuLpBb9mKLU6F,,anonymous,EN,1,1,1,2,5,6,6,4,7,6,5,7,7,6,1,3 mins 45 seconds,Sonata no 2 in Eb (2nd movement - Allegro appasionnato) op 120,Brahms,"1-80, 95-223","0.35-0.54
2.10-2.30
3.21-3.38","36-53
121-133
188-204
","The times when I was most absorbed were probably the times where I was most proficient with the music so did not need to concentrate as hard on the notes, so I found my mind wandering. Often this would make me lose my place in the music so I'd suddenly have to find it when I got to a bit I didn't know as well.","This is a piece I was very familiar with and had performed last week, making it easier to become absorbed in the music or thinking about other things, compared to one more technically challenging ",19,2,,2,1,,0,1,10,once or twice a year ,I do read music. I very rarely learn music by heart,3.75,225,242,56,1
1/27/2023 1:54,1/27/2023 2:31,0,100,2237,1,1/27/2023 2:31,R_2WuJwHujEym0uXE,,anonymous,EN,1,1,4,3,5,5,2,3,6,6,5,4,4,3,6,3min 20sec,Reverie op.24,Alexandre Glazounow,1-end,"0:18-0:30
0:48-1:07
1:43-1:56
2:10-2:20
",,"Generally where I could play the music without focusing specifically on the music or fingerings, and where the music flowed more",,19,1,,2,1,,0,1,11,Every few months,Yes and no,3.333333333,200,175,54,0
